word
paa
saa
ved
kan
naar
kunde
ere
vel
uden
andre
skulde
ingen
vilde
ey
giøre
samme
ei
ja
nok
see
nogen
maae
maa
maatte
endnu
faae
allene
saaledes
enhver
hver
derfor
ord
veed
siden
al
give
maade
endog
giør
igien
siger
udi
komme
ogsaa
enten
haver
baade
kun
saadan
deel
fordi
lige
derved
ligesom
dag
een
kommer
lade
langt
vist
